station,start_time,end_time,peak_level_cm,peak_time,duration_min,avg_gradient_cm_min,points_count,rain_yard_mm,rain_garden_mm,total_rain_mm,rain_verified
Wasserstraße_Springorum,2025-11-26T20:52:00Z,2025-11-26T20:52:00Z,4.9,2025/11/26 20:52:00,0,49,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-26T13:03:00Z,2025-11-26T13:03:00Z,3.2,2025/11/26 13:03:00,0,32,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-24T14:12:00Z,2025-11-24T14:24:00Z,4.2,2025/11/24 14:19:00,12,0.592,12,0,0.8330000000000001,0.8330000000000001,FALSE
Wasserstraße_Springorum,2025-11-24T13:39:00Z,2025-11-24T13:42:00Z,4.1,2025/11/24 13:41:00,3,1.952,4,0,0.8500000000000001,0.8500000000000001,FALSE
Wasserstraße_Springorum,2025-11-22T14:27:00Z,2025-11-22T14:27:00Z,1.6,2025/11/22 14:27:00,0,16,1,0,2.958,2.958,TRUE
Wasserstraße_Springorum,2025-11-14T11:42:00Z,2025-11-14T11:42:00Z,2.2,2025/11/14 11:42:00,0,22,1,0,0,0,FALSE
Königsallee_Springorum,2025-11-14T06:50:00Z,2025-11-14T06:50:00Z,1.7,2025/11/14 06:50:00,0,17,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-14T05:54:00Z,2025-11-14T05:54:00Z,1.6,2025/11/14 05:54:00,0,16,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-13T17:31:00Z,2025-11-13T17:31:00Z,1.8,2025/11/13 17:31:00,0,18,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-13T14:42:00Z,2025-11-13T14:53:00Z,5.5,2025/11/13 14:42:00,11,55,2,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-13T13:54:00Z,2025-11-13T13:54:00Z,5.3,2025/11/13 13:54:00,0,53,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-13T10:22:00Z,2025-11-13T10:22:00Z,1.6,2025/11/13 10:22:00,0,16,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-13T09:58:00Z,2025-11-13T09:58:00Z,2.5,2025/11/13 09:58:00,0,25,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-12T14:18:00Z,2025-11-12T14:18:00Z,2.6,2025/11/12 14:18:00,0,26,1,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-11-12T12:52:00Z,2025-11-12T12:52:00Z,2,2025/11/12 12:52:00,0,20,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-12T08:57:00Z,2025-11-12T08:57:00Z,1.6,2025/11/12 08:57:00,0,16,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-11T15:08:00Z,2025-11-11T15:08:00Z,4.6,2025/11/11 15:08:00,0,46,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-11T12:44:00Z,2025-11-11T12:44:00Z,3.7,2025/11/11 12:44:00,0,37,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-11T03:58:00Z,2025-11-11T04:23:00Z,5.5,2025/11/11 03:58:00,25,55,18,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-11T01:47:00Z,2025-11-11T02:08:00Z,5.2,2025/11/11 02:05:00,21,0.287,12,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-11T00:53:00Z,2025-11-11T00:58:00Z,4.9,2025/11/11 00:56:00,5,1.581,6,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-11T00:04:00Z,2025-11-11T00:09:00Z,4.5,2025/11/11 00:05:00,5,4.091,6,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-11-10T12:00:00Z,2025-11-10T12:00:00Z,1.9,2025/11/10 12:00:00,0,19,1,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-11-10T05:25:00Z,2025-11-10T05:25:00Z,4.4,2025/11/10 05:25:00,0,44,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-07T14:54:00Z,2025-11-07T14:54:00Z,1.7,2025/11/07 14:54:00,0,17,1,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-11-07T13:50:00Z,2025-11-07T13:50:00Z,4,2025/11/07 13:50:00,0,40,1,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-11-07T09:57:00Z,2025-11-07T09:57:00Z,2.3,2025/11/07 09:57:00,0,23,1,0,0,0,FALSE
Königsallee_Springorum,2025-11-05T05:43:00Z,2025-11-05T05:43:00Z,1.7,2025/11/05 05:43:00,0,17,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-05T05:40:00Z,2025-11-05T05:40:00Z,1.7,2025/11/05 05:40:00,0,17,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-04T12:05:00Z,2025-11-04T12:05:00Z,4.1,2025/11/04 12:05:00,0,41,1,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-11-04T09:18:00Z,2025-11-04T09:18:00Z,2.4,2025/11/04 09:18:00,0,24,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-04T06:25:00Z,2025-11-04T06:25:00Z,4.9,2025/11/04 06:25:00,0,49,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-03T14:35:00Z,2025-11-03T14:41:00Z,4.9,2025/11/03 14:41:00,6,0.803,2,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-03T10:25:00Z,2025-11-03T10:36:00Z,4.9,2025/11/03 10:25:00,11,49,2,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-03T03:33:00Z,2025-11-03T03:33:00Z,3.2,2025/11/03 03:33:00,0,32,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-02T16:43:00Z,2025-11-02T20:47:00Z,6.5,2025/11/02 18:12:00,244,0.073,185,0,0,0,FALSE
Königsallee_Springorum,2025-11-02T16:05:00Z,2025-11-02T16:05:00Z,1.6,2025/11/02 16:05:00,0,16,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-02T10:23:00Z,2025-11-02T11:20:00Z,3.3,2025/11/02 10:50:00,57,0.122,35,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-02T09:54:00Z,2025-11-02T09:58:00Z,2.2,2025/11/02 09:56:00,4,1.048,5,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-02T09:08:00Z,2025-11-02T09:13:00Z,2.7,2025/11/02 09:11:00,5,0.871,6,0,0,0,FALSE
Königsallee_Springorum,2025-11-02T05:12:00Z,2025-11-02T05:17:00Z,1.9,2025/11/02 05:16:00,5,0.463,3,0,0.017,0.017,FALSE
Königsallee_Springorum,2025-11-02T02:10:00Z,2025-11-02T02:10:00Z,1.6,2025/11/02 02:10:00,0,16,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-02T01:50:00Z,2025-11-02T02:38:00Z,2.6,2025/11/02 02:16:00,48,0.1,20,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-02T00:59:00Z,2025-11-02T01:25:00Z,3,2025/11/02 01:00:00,26,2.727,16,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-01T23:44:00Z,2025-11-02T00:18:00Z,4,2025/11/02 00:00:00,34,0.248,18,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-01T23:09:00Z,2025-11-01T23:11:00Z,2,2025/11/01 23:09:00,2,20,3,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-01T22:12:00Z,2025-11-01T22:17:00Z,2.2,2025/11/01 22:13:00,5,2,5,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-11-01T21:02:00Z,2025-11-01T21:28:00Z,3.1,2025/11/01 21:07:00,26,0.608,12,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-11-01T19:25:00Z,2025-11-01T19:38:00Z,3.9,2025/11/01 19:25:00,13,39,12,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-11-01T18:26:00Z,2025-11-01T18:41:00Z,4.4,2025/11/01 18:28:00,15,2.095,11,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-01T12:58:00Z,2025-11-01T13:02:00Z,4,2025/11/01 12:59:00,4,3.636,5,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-11-01T10:39:00Z,2025-11-01T11:23:00Z,4.1,2025/11/01 10:58:00,44,0.215,22,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-10-31T19:41:00Z,2025-10-31T19:41:00Z,1.9,2025/10/31 19:41:00,0,19,1,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-10-31T16:13:00Z,2025-10-31T16:13:00Z,3,2025/10/31 16:13:00,0,30,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-31T01:59:00Z,2025-10-31T01:59:00Z,4.2,2025/10/31 01:59:00,0,42,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-30T19:52:00Z,2025-10-30T19:52:00Z,5.1,2025/10/30 19:52:00,0,51,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-30T05:28:00Z,2025-10-30T05:33:00Z,3.2,2025/10/30 05:30:00,5,1.524,6,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-30T03:04:00Z,2025-10-30T03:09:00Z,3.2,2025/10/30 03:06:00,5,1.524,6,0,0,0,FALSE
Königsallee_Springorum,2025-10-23T20:06:00Z,2025-10-23T20:15:00Z,3.3,2025/10/23 20:06:00,9,33,6,0,0,0,FALSE
Königsallee_Springorum,2025-10-23T18:54:00Z,2025-10-23T18:55:00Z,2.2,2025/10/23 18:54:00,1,22,2,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-21T10:10:00Z,2025-10-21T10:42:00Z,7.6,2025/10/21 10:37:00,32,0.28,21,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-21T09:38:00Z,2025-10-21T09:42:00Z,5.7,2025/10/21 09:42:00,4,1.39,5,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-21T04:48:00Z,2025-10-21T04:52:00Z,4.6,2025/10/21 04:52:00,4,1.122,5,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-10-20T15:29:00Z,2025-10-20T15:29:00Z,4,2025/10/20 15:29:00,0,40,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-20T14:38:00Z,2025-10-20T14:38:00Z,3.7,2025/10/20 14:38:00,0,37,1,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-10-20T11:50:00Z,2025-10-20T11:54:00Z,2.4,2025/10/20 11:54:00,4,0.585,3,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-20T09:06:00Z,2025-10-20T10:48:00Z,6.8,2025/10/20 10:32:00,102,0.079,88,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-20T06:34:00Z,2025-10-20T08:29:00Z,6.5,2025/10/20 07:53:00,115,0.082,61,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-10-19T22:43:00Z,2025-10-20T05:16:00Z,8.8,2025/10/20 03:50:00,393,0.029,390,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-10-19T20:08:00Z,2025-10-19T20:08:00Z,4.5,2025/10/19 20:08:00,0,45,1,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-10-19T14:06:00Z,2025-10-19T14:06:00Z,5,2025/10/19 14:06:00,0,50,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-19T09:39:00Z,2025-10-19T09:39:00Z,4.4,2025/10/19 09:39:00,0,44,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-18T12:25:00Z,2025-10-18T12:25:00Z,4.1,2025/10/18 12:25:00,0,41,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-18T09:12:00Z,2025-10-18T09:12:00Z,1.9,2025/10/18 09:12:00,0,19,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-18T04:16:00Z,2025-10-18T04:16:00Z,4.4,2025/10/18 04:16:00,0,44,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-17T23:25:00Z,2025-10-17T23:25:00Z,5,2025/10/17 23:25:00,0,50,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-10-17T13:30:00Z,2025-10-17T13:30:00Z,1.7,2025/10/17 13:30:00,0,17,1,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-10-17T10:32:00Z,2025-10-17T10:32:00Z,3.2,2025/10/17 10:32:00,0,32,1,0,0,0,FALSE
