timestamp,station,precipitation_mm
2026-09-11T02:30:00Z,Königsallee,0
2026-09-11T02:30:00Z,Wasserbaulabor 2,0
2026-09-11T02:30:00Z,Herzogstraße,0
2026-09-11T02:35:00Z,An der Kost,0
2026-09-11T02:35:00Z,Wasserstraße,0
2026-09-11T02:35:00Z,Königsallee,0
2026-09-11T02:35:00Z,Wasserbaulabor 2,0
2026-09-11T02:35:00Z,Herzogstraße,0
2026-09-11T02:40:00Z,An der Kost,0
2026-09-11T02:40:00Z,Wasserstraße,0
2026-09-11T02:40:00Z,Königsallee,0
2026-09-11T02:40:00Z,Wasserbaulabor 2,0
2026-09-11T02:40:00Z,Herzogstraße,0
2026-09-11T02:45:00Z,An der Kost,0
2026-09-11T02:45:00Z,Wasserstraße,0
2026-09-11T02:45:00Z,Königsallee,0
2026-09-11T02:45:00Z,Wasserbaulabor 2,0
2026-09-11T02:45:00Z,Herzogstraße,0
2026-09-11T02:50:00Z,An der Kost,0
2026-09-11T02:50:00Z,Wasserstraße,0
2026-09-11T02:50:00Z,Königsallee,0
2026-09-11T02:50:00Z,Wasserbaulabor 2,0
2026-09-11T02:50:00Z,Herzogstraße,0
2026-09-11T02:55:00Z,An der Kost,0
2026-09-11T02:55:00Z,Wasserstraße,0
2026-09-11T02:55:00Z,Königsallee,0
2026-09-11T02:55:00Z,Wasserbaulabor 2,0
2026-09-11T02:55:00Z,Herzogstraße,0
2026-09-11T03:00:00Z,An der Kost,0
2026-09-11T03:00:00Z,Wasserstraße,0
2026-09-11T03:00:00Z,Königsallee,0
2026-09-11T03:00:00Z,Wasserbaulabor 2,0
2026-09-11T03:00:00Z,Herzogstraße,0
2026-09-11T03:05:00Z,An der Kost,0
2026-09-11T03:05:00Z,Wasserstraße,0
2026-09-11T03:05:00Z,Königsallee,0
2026-09-11T03:05:00Z,Wasserbaulabor 2,0
2026-09-11T03:05:00Z,Herzogstraße,0
2026-09-11T03:10:00Z,An der Kost,0
2026-09-11T03:10:00Z,Wasserstraße,0
2026-09-11T03:10:00Z,Königsallee,0
2026-09-11T03:10:00Z,Wasserbaulabor 2,0
2026-09-11T03:10:00Z,Herzogstraße,0
2026-09-11T03:15:00Z,An der Kost,0
2026-09-11T03:15:00Z,Wasserstraße,0
2026-09-11T03:15:00Z,Königsallee,0
2026-09-11T03:15:00Z,Wasserbaulabor 2,0
2026-09-11T03:15:00Z,Herzogstraße,0
2026-09-11T03:20:00Z,An der Kost,0
2026-09-11T03:20:00Z,Wasserstraße,0
2026-09-11T03:20:00Z,Königsallee,0
2026-09-11T03:20:00Z,Wasserbaulabor 2,0
2026-09-11T03:20:00Z,Herzogstraße,0
2026-09-11T03:25:00Z,An der Kost,0
2026-09-11T03:25:00Z,Wasserstraße,0
2026-09-11T03:25:00Z,Königsallee,0
2026-09-11T03:25:00Z,Wasserbaulabor 2,0
2026-09-11T03:25:00Z,Herzogstraße,0
2026-09-11T03:30:00Z,An der Kost,0
2026-09-11T03:30:00Z,Wasserstraße,0
2026-09-11T03:30:00Z,Königsallee,0
2026-09-11T03:30:00Z,Wasserbaulabor 2,0
2026-09-11T03:30:00Z,Herzogstraße,0
2026-09-11T03:35:00Z,An der Kost,0
2026-09-11T03:35:00Z,Wasserstraße,0
2026-09-11T03:35:00Z,Königsallee,0
2026-09-11T03:35:00Z,Wasserbaulabor 2,0
2026-09-11T03:35:00Z,Herzogstraße,0
2026-09-11T03:40:00Z,An der Kost,0
2026-09-11T03:40:00Z,Wasserstraße,0
2026-09-11T03:40:00Z,Königsallee,0
2026-09-11T03:40:00Z,Wasserbaulabor 2,0
2026-09-11T03:40:00Z,Herzogstraße,0
2026-09-11T03:45:00Z,An der Kost,0
2026-09-11T03:45:00Z,Wasserstraße,0
2026-09-11T03:45:00Z,Königsallee,0
2026-09-11T03:45:00Z,Wasserbaulabor 2,0
2026-09-11T03:45:00Z,Herzogstraße,0
2026-09-11T03:50:00Z,An der Kost,0
2026-09-11T03:50:00Z,Wasserstraße,0
2026-09-11T03:50:00Z,Königsallee,0
2026-09-11T03:50:00Z,Wasserbaulabor 2,0
2026-09-11T03:50:00Z,Herzogstraße,0
2026-09-11T03:55:00Z,An der Kost,0
2026-09-11T03:55:00Z,Wasserstraße,0
2026-09-11T03:55:00Z,Königsallee,0
2026-09-11T03:55:00Z,Wasserbaulabor 2,0
2026-09-11T03:55:00Z,Herzogstraße,0
2026-09-11T04:00:00Z,An der Kost,0
2026-09-11T04:00:00Z,Wasserstraße,0
2026-09-11T04:00:00Z,Königsallee,0
2026-09-11T04:00:00Z,Wasserbaulabor 2,0
2026-09-11T04:00:00Z,Herzogstraße,0
2026-09-11T04:05:00Z,An der Kost,0
2026-09-11T04:05:00Z,Wasserstraße,0
2026-09-11T04:05:00Z,Königsallee,0
2026-09-11T04:05:00Z,Wasserbaulabor 2,0
2026-09-11T04:05:00Z,Herzogstraße,0
2026-09-11T04:10:00Z,An der Kost,0
2026-09-11T04:10:00Z,Wasserstraße,0
2026-09-11T04:10:00Z,Königsallee,0
2026-09-11T04:10:00Z,Wasserbaulabor 2,0
2026-09-11T04:10:00Z,Herzogstraße,0
2026-09-11T04:15:00Z,An der Kost,0
2026-09-11T04:15:00Z,Wasserstraße,0
2026-09-11T04:15:00Z,Königsallee,0
2026-09-11T04:15:00Z,Wasserbaulabor 2,0
2026-09-11T04:15:00Z,Herzogstraße,0
2026-09-11T04:20:00Z,An der Kost,0
2026-09-11T04:20:00Z,Wasserstraße,0
2026-09-11T04:20:00Z,Königsallee,0
2026-09-11T04:20:00Z,Wasserbaulabor 2,0
2026-09-11T04:20:00Z,Herzogstraße,0
2026-09-11T04:25:00Z,An der Kost,0
2026-09-11T04:25:00Z,Wasserstraße,0
2026-09-11T04:25:00Z,Königsallee,0
2026-09-11T04:25:00Z,Wasserbaulabor 2,0
2026-09-11T04:25:00Z,Herzogstraße,0
2026-09-11T04:30:00Z,An der Kost,0
2026-09-11T04:30:00Z,Wasserstraße,0
2026-09-11T04:30:00Z,Königsallee,0
2026-09-11T04:30:00Z,Wasserbaulabor 2,0
2026-09-11T04:30:00Z,Herzogstraße,0
2026-09-11T04:35:00Z,An der Kost,0
2026-09-11T04:35:00Z,Wasserstraße,0
2026-09-11T04:35:00Z,Königsallee,0
2026-09-11T04:35:00Z,Wasserbaulabor 2,0
2026-09-11T04:35:00Z,Herzogstraße,0
2026-09-11T04:40:00Z,An der Kost,0
2026-09-11T04:40:00Z,Wasserstraße,0
2026-09-11T04:40:00Z,Königsallee,0
2026-09-11T04:40:00Z,Wasserbaulabor 2,0
2026-09-11T04:40:00Z,Herzogstraße,0
2026-09-11T04:45:00Z,An der Kost,0
2026-09-11T04:45:00Z,Wasserstraße,0
2026-09-11T04:45:00Z,Königsallee,0
2026-09-11T04:45:00Z,Wasserbaulabor 2,0
2026-09-11T04:45:00Z,Herzogstraße,0
2026-09-11T04:50:00Z,An der Kost,0
2026-09-11T04:50:00Z,Wasserstraße,0
2026-09-11T04:50:00Z,Königsallee,0
2026-09-11T04:50:00Z,Wasserbaulabor 2,0
2026-09-11T04:50:00Z,Herzogstraße,0
2026-09-11T04:55:00Z,An der Kost,0
2026-09-11T04:55:00Z,Wasserstraße,0
2026-09-11T04:55:00Z,Königsallee,0
2026-09-11T04:55:00Z,Wasserbaulabor 2,0
2026-09-11T04:55:00Z,Herzogstraße,0
2026-09-11T05:00:00Z,An der Kost,0
