"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","points_count","total_precip_mm","max_intensity_mm_h","openmeteo_verified","dwd_risk_level","radolan_verified","level_reliable"
"Königsallee_Springorum","2025/12/03 23:45:00","2025/12/04 00:21:00",0.5,"2025/12/04 00:00:00",36,0.033,"Leichter Regen / Unterhalb DWD-Schwelle",37,0.75,1.2,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/12/05 04:46:00","2025/12/05 08:37:00",0.6,"2025/12/05 05:20:00",231,0.018,"Leichter Regen / Unterhalb DWD-Schwelle",232,0.03,0.24,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/12/06 03:27:00","2025/12/06 06:46:00",0.6,"2025/12/06 04:40:00",199,0.008,"Leichter Regen / Unterhalb DWD-Schwelle",200,0.3,2.52,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/12/06 03:28:00","2025/12/06 06:44:00",0.5,"2025/12/06 04:40:00",196,0.007,"Leichter Regen / Unterhalb DWD-Schwelle",197,0.3,2.52,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/12/06 04:08:00","2025/12/06 06:11:00",0.6,"2025/12/06 05:19:00",123,0.008,"Leichter Regen / Unterhalb DWD-Schwelle",10,0.3,2.52,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2025/12/06 04:31:00","2025/12/06 04:44:00",0.5,"2025/12/06 04:40:00",13,0.055,"Leichter Regen / Unterhalb DWD-Schwelle",14,0.3,2.52,NA,NA,TRUE,NA
"An_der_Kost","2025/12/07 16:36:00","2025/12/07 22:12:00",0.4,"2025/12/07 19:57:00",336,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",337,9.49,5.4,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/12/07 20:33:00","2025/12/08 02:25:00",0.5,"2025/12/07 21:06:00",352,0.015,"Leichter Regen / Unterhalb DWD-Schwelle",353,4.99,5.76,NA,NA,TRUE,NA
"An_der_Kost","2025/12/08 18:37:00","2025/12/09 01:55:00",0.6,"2025/12/08 19:50:00",438,0.008,"Leichter Regen / Unterhalb DWD-Schwelle",435,0.12,0.36,NA,NA,TRUE,NA
"An_der_Kost","2025/12/08 23:18:00","2025/12/09 00:14:00",0.6,"2025/12/08 23:42:00",56,0.025,"Leichter Regen / Unterhalb DWD-Schwelle",57,0.12,0.36,NA,NA,TRUE,NA
"An_der_Kost","2025/12/08 23:35:00","2025/12/09 00:08:00",0.6,"2025/12/08 23:42:00",33,0.085,"Leichter Regen / Unterhalb DWD-Schwelle",25,0.12,0.36,NA,"Level 0 – Kein nennenswerter Regen",TRUE,NA
"Wasserstraße_Springorum","2025/12/10 04:52:00","2025/12/10 08:02:00",2.4,"2025/12/10 07:27:00",190,0.015,"Regenereignis / Natürlich",191,0.55,1.44,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/01/01 22:25:00","2026/01/02 10:48:00",0.7,"2026/01/02 00:46:00",743,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",740,0.75,1.2,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/01/05 15:30:00","2026/01/06 12:23:00",0.8,"2026/01/06 08:39:00",1253,0.001,"Leichter Regen / Unterhalb DWD-Schwelle",1248,0.55,2.4,NA,NA,TRUE,NA
"An_der_Kost","2026/01/07 17:03:00","2026/01/07 18:44:00",0.3,"2026/01/07 17:27:00",101,0.012,"Leichter Regen / Unterhalb DWD-Schwelle",102,0.75,2.4,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/01/07 18:58:00","2026/01/08 04:39:00",0.5,"2026/01/07 19:03:00",581,0.098,"Leichter Regen / Unterhalb DWD-Schwelle",580,0.16,1.32,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/01/08 06:20:00","2026/01/09 00:38:00",0.7,"2026/01/08 15:38:00",1098,0.001,"Leichter Regen / Unterhalb DWD-Schwelle",1093,3.82,1.92,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/01/08 18:24:00","2026/01/08 19:22:00",0.7,"2026/01/08 19:11:00",58,0.015,"Leichter Regen / Unterhalb DWD-Schwelle",3,0.25,0.6,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2026/01/09 10:41:00","2026/01/09 11:50:00",0.4,"2026/01/09 10:57:00",69,0.025,"Leichter Regen / Unterhalb DWD-Schwelle",70,0.03,0.24,NA,NA,TRUE,NA
